date,num_rrsig,num_httpsrr,rrsig_perc
2024-09-21,11114,85427,13.009938309902006
2024-09-22,11134,85890,12.96309232739549
2024-09-23,11133,85899,12.960569971710948
2024-09-24,11145,85981,12.96216605994346
2024-09-25,11150,85976,12.968735461058884
2024-09-26,11161,85955,12.984701297190375
2024-09-27,11169,85971,12.991590187388756
2024-09-28,11175,85958,13.000535145070833
2024-09-29,11154,85614,13.028243044361888
2024-09-30,11143,85323,13.059784583289368
2024-10-01,11133,85319,13.048676144821185
2024-10-02,11133,85206,13.065981268924707
2024-10-03,11127,85222,13.056487761376156
2024-10-04,11099,84641,13.113030328091572
2024-10-05,11081,84352,13.136617981790575
2024-10-06,11075,84361,13.128104218774062
2024-10-07,11082,84362,13.136246177188767
2024-10-08,11085,84423,13.130308091396879
2024-10-09,11087,84381,13.1392138040554
2024-10-10,11088,84402,13.137129451908706
2024-10-11,11090,84366,13.145105848327509
2024-10-12,11098,84350,13.157083580320078
2024-10-13,11102,84318,13.166820844896685
2024-10-14,11123,84547,13.155996073190044
2024-10-15,11179,85368,13.095070752506778
2024-10-16,11168,85337,13.086937670646948
2024-10-17,11185,85365,13.102559597024525
2024-10-18,11196,85407,13.108995749762885
2024-10-19,11195,85426,13.104909512326442
2024-10-20,11241,86063,13.061362025492937
2024-10-21,11247,86130,13.058167885754077
2024-10-22,11253,86132,13.064830724933808
2024-10-23,11244,86065,13.064544239818726
2024-10-24,11252,86046,13.07672640215697
2024-10-25,11252,86060,13.074599116895174
2024-10-26,11238,85839,13.091951210987997
2024-10-27,11208,85417,13.121509769717957
2024-10-28,11205,85337,13.130295182628856
2024-10-29,11209,85336,13.135136401987422
2024-10-30,11205,85207,13.150328024692792
2024-10-31,11194,85176,13.142199680661204
2024-11-01,11137,84251,13.21883419781366
2024-11-02,11144,84342,13.212871404519678
2024-11-03,11148,84345,13.217143873377184
2024-11-04,11139,84287,13.215561118559192
2024-11-05,11140,84339,13.208598631712478
2024-11-06,11142,84167,13.23796737438662
2024-11-07,11154,84081,13.265779426981108
2024-11-08,11148,84000,13.271428571428554
2024-11-09,11155,83974,13.283873579917577
2024-11-10,11151,83943,13.284014152460582
2024-11-11,11134,83790,13.287981859410415
2024-11-12,11153,83783,13.311769690748704
2024-11-13,11149,83730,13.315418607428624
2024-11-14,11159,83670,13.336918847854651
2024-11-15,11160,83631,13.344334038813342
2024-11-16,11156,83592,13.345774715283744
2024-11-17,11154,83488,13.360003832886147
2024-11-18,11150,83318,13.38246237307663
2024-11-19,11212,83982,13.350479864732902
2024-11-20,11229,84149,13.344187096697508
2024-11-21,11230,84094,13.354103741051665
2024-11-22,11227,84022,13.361976625169582
2024-11-23,11231,83955,13.377404561967705
2024-11-24,11218,83908,13.369404585975099
2024-11-25,11252,84333,13.342345226660958
2024-11-26,11246,84270,13.345199952533507
2024-11-27,11246,84219,13.353281326066549
2024-11-28,11239,84148,13.356229500404034
2024-11-29,11243,84259,13.343381715899769
2024-11-30,11239,84200,13.347980997624687
2024-12-01,11214,83858,13.372606072169603
2024-12-02,11201,83707,13.381198705006733
2024-12-03,11216,83705,13.399438504270936
2024-12-04,11220,83642,13.414313383228505
2024-12-05,11224,83655,13.417010340087247
2024-12-06,11178,83027,13.463090320016363
2024-12-07,11166,82884,13.47184016215432
2024-12-08,11155,82868,13.461167157406944
2024-12-09,11155,82832,13.467017577747713
2024-12-10,11164,82934,13.46130658113679
2024-12-11,11160,82886,13.464276234828542
2024-12-12,11172,82928,13.471927455141794
2024-12-13,11173,82892,13.478984702987002
2024-12-14,11166,82885,13.471677625625851
2024-12-15,11161,82847,13.471821550569105
2024-12-16,11175,82988,13.465802284667646
2024-12-17,11236,83790,13.409714763098206
2024-12-18,11260,83812,13.434830334558281
2024-12-19,11256,83838,13.425892793244097
2024-12-20,11267,83882,13.431963949357414
2024-12-21,11273,83902,13.435913327453441
2024-12-22,11318,84422,13.406458032266455
2024-12-23,11318,84453,13.401536949545886
2024-12-24,11318,84403,13.409475966494066
2024-12-25,11312,84344,13.411742388314506
2024-12-26,11300,84318,13.401646149102191
2024-12-27,11299,84260,13.409684310467584
2024-12-28,11250,83701,13.440699633218225
2024-12-29,11259,83616,13.465126291618812
2024-12-30,11252,83556,13.46641773182056
2024-12-31,11249,83523,13.46814649856924
2025-01-01,11257,90932,12.379580345752856
2025-01-02,11241,90689,12.395108557818464
2025-01-03,11198,90043,12.436280443787954
2025-01-04,11207,90361,12.402474518874278
2025-01-05,11214,90236,12.427412562613577
2025-01-06,11196,90210,12.411040904556021
2025-01-07,11205,90206,12.421568410083573
2025-01-08,11203,90201,12.420039689138687
2025-01-09,11202,90227,12.415352388974462
2025-01-10,11203,90317,12.404087823997683
2025-01-11,11203,90484,12.381194465319822
2025-01-12,11206,90711,12.353518316411447
2025-01-13,11208,90545,12.378375393450757
2025-01-14,11215,90710,12.363576231947953
2025-01-15,11230,90711,12.37997596763346
2025-01-16,11246,90837,12.380417671213259
2025-01-17,11249,90929,12.371190709234664
2025-01-18,11262,91003,12.375416195070478
2025-01-19,11277,91086,12.380607338120004
2025-01-20,11277,91126,12.37517283760945
2025-01-21,11316,91667,12.344682382973138
2025-01-22,11349,92210,12.30777572931351
2025-01-23,11367,92353,12.308208720886151
2025-01-24,11373,92581,12.284378004126102
2025-01-27,11386,92723,12.279585431877729
2025-01-28,11428,93225,12.258514347009909
2025-01-29,11431,93268,12.256079255478822
2025-01-30,11443,93365,12.25619878969634
2025-01-31,11420,92945,12.286836301038235
2025-02-01,11424,93001,12.283738884528109
